,latitude,longitude,Tingkat Kepercayaan (%),label
80,2.123399,100.357933,96.0,4
81,2.122103,100.348854,98.0,4
82,0.992849,101.894913,46.0,10
83,0.9770139999999999,100.895111,60.0,10
84,0.975583,100.885254,52.0,10
85,1.794603,101.45599399999999,61.0,12
86,2.132926,100.35368299999999,27.0,5
87,-1.001075,102.530487,73.0,16
88,-0.894975,102.214546,72.0,16
89,-0.884759,102.131897,33.0,16
90,-0.836879,102.279449,62.0,16
91,-0.8493059999999999,102.119934,79.0,16
92,-0.8512649999999999,102.10655200000001,79.0,16
93,-0.8661110000000001,101.928574,84.0,16
94,-0.7957310000000001,102.030151,53.0,16
95,-0.443337,102.578102,43.0,14
96,-0.380918,102.94564799999999,43.0,14
97,-0.315235,103.04675300000001,56.0,14
98,-0.184813,101.73268900000001,49.0,2
99,-0.157212,99.798149,65.0,8
100,0.6335970000000001,102.832382,64.0,8
101,0.4147050000000001,100.48344399999999,47.0,2
102,0.426731,100.48150600000001,73.0,2
103,0.946356,102.94066600000001,66.0,10
104,2.0,100.338737,39.0,5
105,1.09635,100.977463,87.0,10
106,1.095043,100.986351,99.0,0
107,-0.179503,103.09728199999999,42.0,14
108,-0.181005,103.107681,49.0,14
109,-0.381425,102.95121,96.0,8
110,-0.46234899999999995,102.50876600000001,84.0,2
111,-0.463766,102.518539,100.0,7
112,-0.533883,102.66986800000001,59.0,2
113,-0.535349,102.679825,72.0,2
114,0.0,101.71145600000001,32.0,1
115,-0.142332,102.864273,18.0,1
116,-0.0036299999999999995,102.73820500000001,56.0,14
117,0.7501800000000001,102.099869,53.0,10
118,3.0675619999999997,116.434265,38.0,3
119,3.183005,116.491127,38.0,3
120,3.47497,116.50801100000001,69.0,3
121,3.691098,108.248749,31.0,11
122,-2.0,121.38076799999999,100.0,3
123,-0.848453,102.920959,64.0,16
124,-0.41834899999999997,102.890236,69.0,2
125,-0.570337,101.42214200000001,87.0,8
126,0.242448,102.308052,53.0,14
127,-3.12564,114.074821,88.0,3
128,0.666402,101.250725,44.0,10
129,0.663858,101.232925,55.0,10
130,1.088014,100.97739399999999,73.0,10
131,1.8952799999999999,100.833855,47.0,12
132,0.666403,101.250732,44.0,10
133,0.663859,101.232933,55.0,10
134,1.088014,100.977386,73.0,10
135,1.8952810000000002,100.833855,47.0,12
136,-0.86446,102.111053,39.0,16
137,-0.85021,102.14145699999999,77.0,16
138,-0.851715,102.130829,85.0,16
139,-0.85551,102.03337900000001,50.0,16
140,-0.366717,102.71846,26.0,1
141,-0.204683,102.936462,40.0,1
142,-0.27423000000000003,101.741371,49.0,2
143,-0.166877,101.775139,76.0,2
144,0.043862,101.466103,33.0,1
145,0.143241,101.51413000000001,56.0,2
146,0.299511,102.468727,51.0,14
147,0.298093,102.458771,70.0,8
148,0.209986,101.839958,18.0,1
149,0.31863,102.368668,36.0,1
150,0.581067,102.973145,27.0,18
151,0.654383,102.839905,68.0,8
152,0.652997,102.830368,71.0,8
153,0.651609,102.820824,69.0,8
154,0.7229140000000001,102.791039,16.0,18
155,0.743495,102.293198,45.0,18
156,0.667392,101.251923,36.0,18
157,0.665746,101.24045600000001,48.0,10
158,0.664098,101.228973,51.0,10
159,0.9434959999999999,101.469086,30.0,18
160,0.764534,102.115944,23.0,18
161,0.6628149999999999,101.239891,53.0,10
162,1.164039,101.959129,43.0,10
163,1.295759,101.613091,40.0,10
164,1.480626,101.912071,27.0,5
165,1.793151,101.455795,59.0,12
166,2.191026,100.866783,54.0,12
167,0.43166899999999997,100.333939,24.0,2
168,0.492613,100.401917,13.0,2
169,1.571389,101.489655,69.0,12
170,-2.0,121.37168100000001,61.0,3
171,-0.740272,101.908333,43.0,16
172,-0.741548,101.899422,72.0,16
173,-0.155063,101.627319,40.0,2
174,-0.158323,99.801598,41.0,3
175,0.49946499999999994,100.407219,75.0,2
176,0.498162,100.398117,68.0,2
177,0.916486,100.110313,53.0,10
178,1.2968540000000002,101.929001,43.0,5
179,2.0,101.566345,71.0,12
180,2.431086,100.310539,65.0,12
181,2.4012580000000003,100.316414,51.0,12
182,2.395657,100.31933599999999,45.0,5
183,2.118426,100.359161,97.0,4
184,2.040046,100.331696,30.0,5
185,1.9436490000000002,100.42517099999999,91.0,15
186,1.9341009999999998,100.423805,89.0,15
187,0.586361,100.263092,100.0,7
188,0.584813,100.273453,91.0,2
189,1.6734189999999998,101.47075699999999,47.0,12
190,-8.0,125.059875,60.0,6
191,2.431331,100.315384,66.0,12
192,0.8504299999999999,102.713539,38.0,18
193,-0.107303,101.709816,86.0,2
194,-0.20199999999999999,101.792526,94.0,2
195,-0.39929000000000003,102.940598,71.0,2
196,-0.918701,102.248779,72.0,16
197,-0.544184,102.674934,59.0,2
198,-0.4648140000000001,102.511169,100.0,7
199,-0.380161,102.949158,100.0,7
200,-0.11921,101.708862,100.0,7
201,-0.12084,101.69735,24.0,1
202,0.0,101.63871800000001,55.0,2
203,1.576173,101.547607,66.0,12
204,1.9912889999999999,117.38753500000001,60.0,3
205,1.983844,117.38076000000001,19.0,3
206,1.040165,120.81971000000001,51.0,3
207,1.165044,101.95326999999999,16.0,18
208,1.096878,100.981964,70.0,10
209,1.0876629999999998,100.980652,52.0,10
210,0.144995,101.51248199999999,52.0,2
211,0.143503,101.522644,61.0,2
212,1.587199,101.233795,49.0,12
213,0.145256,101.51844799999999,74.0,2
214,-2.527486,110.27453600000001,56.0,3
215,-2.5245040000000003,110.269745,64.0,3
216,-9.42248,120.01718899999999,36.0,6
217,0.931837,101.568291,39.0,18
218,-0.24739099999999997,101.730103,43.0,14
219,-0.074414,101.653679,74.0,2
220,0.0,117.502174,39.0,3
221,1.0539,102.010017,49.0,10
222,-0.241052,102.41690799999999,32.0,1
223,-2.1158919999999997,113.45600900000001,39.0,3
224,-2.126489,113.45452900000001,30.0,3
225,2.010775,100.52196500000001,70.0,12
226,1.474115,101.909172,57.0,12
227,1.2187290000000002,100.953453,20.0,18
228,1.028737,100.865669,49.0,10
229,0.205073,101.843414,44.0,14
230,-0.411783,102.70513199999999,59.0,14
231,-1.35005,100.582001,46.0,3
232,-1.01392173767,102.54363250700001,66.0,16
233,0.880419194698,101.95892334,59.0,10
234,1.8540655374500001,101.232749939,58.0,12
235,-1.01314,102.54799999999999,82.0,16
236,0.609946429729,102.097923279,28.0,18
237,1.9821749925599998,101.20909118700001,31.0,5
238,-0.85279083252,102.099197388,53.0,16
239,2.24400949478,100.922241211,71.0,12
240,2.1495542526199998,100.87355804399999,24.0,5
241,2.13885331154,100.881866455,35.0,5
242,0.986509799957,101.889099121,28.0,18
243,1.10642969608,101.01419067399999,64.0,10
244,1.10505414009,101.02352905299999,83.0,10
245,0.9363774061200001,101.91844940200001,41.0,18
246,0.883878409863,101.959686279,29.0,18
247,0.605915188789,102.780426025,67.0,8
248,0.604596614838,102.789382935,57.0,14
249,0.525074720383,103.01688385,40.0,18
250,0.607576191425,102.08320617700001,27.0,18
251,-0.3878798484800001,101.32536315899999,77.0,8
252,-0.158941790462,101.702362061,28.0,1
253,-0.07663488388060001,101.64595031700001,90.0,2
254,-0.078177690506,101.634979248,47.0,2
255,0.439322888851,101.88352966299999,41.0,14
256,0.611102700233,102.093940735,34.0,18
257,0.6096529960629999,102.083770752,44.0,18
258,0.405659765005,100.39378356899999,50.0,2
259,0.974690616131,103.038650513,59.0,10
260,0.87632727623,101.95463562,26.0,18
261,1.1048214435600001,101.04822540299999,41.0,10
262,1.10318267345,101.036773682,100.0,7
263,1.10153877735,101.02529144299999,100.0,7
264,1.09989380836,101.013793945,92.0,0
265,1.11326348782,101.03530120799999,98.0,0
266,1.11162829399,101.02381897,90.0,0
267,1.12496590614,101.045272827,47.0,10
268,1.1340551376299999,101.037330627,68.0,10
269,1.1441289186499999,101.035865784,32.0,18
270,1.2395581006999998,100.99297332799999,50.0,10
271,1.31363117695,100.31770324700001,31.0,18
272,1.31175303459,100.305000305,62.0,10
273,1.45758509636,101.15697479200001,67.0,10
274,1.455960989,101.14581298799999,62.0,10
275,1.4340841770200001,100.43447876,81.0,10
276,1.43226122856,100.422073364,71.0,10
277,1.70308125019,101.23348999,66.0,12
278,1.9984356164900001,100.798614502,74.0,15
279,2.0068991184200002,100.785583496,87.0,15
280,2.0804772377000003,101.14768981899999,73.0,12
281,2.0358281135599996,100.774772644,52.0,12
282,2.1330225467700004,100.883766174,54.0,12
283,2.14305472374,100.88230133100001,85.0,15
284,2.14138579369,100.87094116200001,86.0,15
285,2.16463732719,100.959846497,55.0,12
286,2.1945734024,100.955467224,55.0,12
287,2.20616078377,100.96522522,85.0,15
288,2.20455169678,100.95400238,60.0,12
289,2.19157958031,100.863563538,79.0,15
290,2.21613025665,100.963745117,84.0,15
291,2.2145280838,100.95252227799999,54.0,12
292,2.23266911507,101.000495911,72.0,12
293,2.22770810127,100.89806366,50.0,12
294,2.2426912784599997,100.930450439,67.0,12
295,2.2410356998400003,100.91918182399999,78.0,15
