,Tahun,count,cluster
10,201501,4,3
11,201502,22,3
12,201503,23,3
13,201504,16,3
14,201505,21,3
15,201506,15,3
16,201507,27,3
17,201602,20,3
18,201603,6,3
19,201604,2,3
20,201606,1,3
21,201607,1,3
22,201608,1,3
23,201610,6,3
24,201808,2,3
0,201401,4,4
1,201402,110,4
2,201403,208,4
3,201406,38,4
4,201407,109,4
5,201408,10,4
6,201409,1,4
7,201502,7,4
8,201503,40,4
9,201504,11,4
10,201506,4,4
11,201507,41,4
12,201508,1,4
13,201509,4,4
14,201602,2,4
15,201603,10,4
16,201604,6,4
17,201608,19,4
18,201609,2,4
19,201610,2,4
20,201702,4,4
21,201708,1,4
22,201801,3,4
23,201802,2,4
24,201803,8,4
25,201804,1,4
26,201807,12,4
27,201808,78,4
28,201901,1,4
29,201902,18,4
30,201903,11,4
31,201904,2,4
32,201906,1,4
33,201907,4,4
34,201908,15,4
0,201401,11,5
1,201402,326,5
2,201403,878,5
3,201404,37,5
4,201405,9,5
5,201406,221,5
6,201407,278,5
7,201408,34,5
8,201409,3,5
9,201410,2,5
10,201411,20,5
11,201412,6,5
12,201501,9,5
13,201502,55,5
14,201503,96,5
15,201504,81,5
16,201505,30,5
17,201506,66,5
18,201507,275,5
19,201508,13,5
20,201509,26,5
21,201510,5,5
22,201511,8,5
23,201512,6,5
24,201601,41,5
25,201602,6,5
26,201603,58,5
27,201604,34,5
28,201605,19,5
29,201606,29,5
30,201607,27,5
31,201608,97,5
32,201609,38,5
33,201610,10,5
34,201611,5,5
35,201612,5,5
36,201701,13,5
37,201702,21,5
38,201703,16,5
39,201704,20,5
40,201705,24,5
41,201706,13,5
42,201707,23,5
43,201708,11,5
44,201709,4,5
45,201710,11,5
46,201711,3,5
47,201712,4,5
48,201801,15,5
49,201802,30,5
50,201803,30,5
51,201804,27,5
52,201805,13,5
53,201806,7,5
54,201807,29,5
55,201808,204,5
56,201809,5,5
57,201810,1,5
58,201811,1,5
59,201901,6,5
60,201902,81,5
61,201903,86,5
62,201904,28,5
63,201905,23,5
64,201906,36,5
65,201907,47,5
66,201908,85,5
0,201403,1,6
1,201404,2,6
2,201405,4,6
3,201406,20,6
4,201407,14,6
